foodid,annotated_food_name,dietary_supplement_cat,dietary_supplement_subcat,breakfast_cereal_cat,breakfast_cereal_subcat,side_dish_cat,side_dish_subcat,condiment_cat,condiment_subcat,beverage_cat,beverage_subcat,snack_cat,snack_subcat,dessert_cat,dessert_subcat,fast_food_brand_cat,fast_food_brand_subcat,snack_brand_cat,snack_brand_subcat,herb_spice_cat,herb_spice_subcat,staple_cat,staple_subcat,meat_cat,meat_subcat,egg_dairy_cat,egg_dairy_subcat,vegetable_cat,vegetable_subcat,mushroom_cat,mushroom_subcat,fruit_cat,fruit_subcat,nut_seed_cat,nut_seed_subcat,bean_legume_cat,bean_legume_subcat,preparation_cat,preparation_subcat,volume_q,volume_unit,mass_q,mass_unit,length_q,length_unit,serving_q,serving_unit,calories,fat,carbs,sodium,potassium,fiber,sugar,protein,calcium,iron
2928,"{""snack__snack"": 1, ""snack"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""snack__snack__energy_bar"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.00,gram,-,-,-,-,100,2,18,60,-,2,-,4,-,-
2929,"{""herb_spice__peppers"": 1, ""condiment__condiment"": 1, ""condiment__condiment__salt"": 1, ""herb_spice"": 1, ""condiment"": 1, ""herb_spice__peppers__pepper"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,herb_spice,peppers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,70,3,8,250,-,3,-,3,-,-
2930,"{""egg_dairy__egg"": 1, ""egg_dairy__egg__omelet"": 1, ""egg_dairy"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,egg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,530,43,7,590,-,1,-,27,-,-
2931,"{""egg_dairy"": 1, ""condiment__condiment"": 1, ""condiment__condiment__ranch"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""condiment"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,30.00,milliliter,-,-,-,-,-,-,60,5,2,240,-,0,-,2,-,-
2932,"{""side_dish__fries"": 1, ""side_dish"": 1, ""fast_food_brand"": 1, ""fast_food_brand__fast_food__culvers"": 1, ""fast_food_brand__fast_food"": 1, ""side_dish__fries__french_fry"": 1}",-,-,-,-,side_dish,fries,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,gram,-,-,-,-,260,10,38,320,-,3,-,4,-,-
2933,"{""staple__wheat"": 1, ""nut_seed__pseudocereal"": 1, ""nut_seed"": 1, ""staple__wheat__noodle"": 1, ""nut_seed__pseudocereal__buckwheat"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,nut_seed,pseudocereal,-,-,-,-,-,-,60.00,gram,-,-,-,-,210,2,39,1020,-,3,-,10,-,-
2934,"{""vegetable"": 1, ""vegetable__root_tuberous_vegetables__carrot"": 1, ""vegetable__root_tuberous_vegetables"": 1, ""vegetable__flowers_flower_buds"": 1, ""vegetable__flowers_flower_buds__broccoli"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,flowers_flower_buds,-,-,-,-,-,-,-,-,-,-,473.18,milliliter,-,-,-,-,-,-,50,0,10,80,-,6,-,4,-,-
2935,"{""condiment__condiment__brown_sugar"": 1, ""staple__other_cereal"": 1, ""condiment__condiment"": 1, ""staple__other_cereal__oat"": 1, ""condiment"": 1, ""staple"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,staple,other_cereal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,210,3,44,190,-,5,-,6,-,-
2936,"{""meat"": 1, ""condiment__condiment"": 1, ""condiment__condiment__mustard"": 1, ""condiment__condiment__honey"": 1, ""meat__poultry__chicken"": 1, ""condiment"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,serving,200,5,16,373,-,1,-,25,-,-
2937,"{""condiment__condiment"": 1, ""condiment__condiment__syrup"": 1, ""fruit"": 1, ""fruit__tropical__orange"": 1, ""condiment"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,80,0,21,0,-,1,-,0,-,-
2938,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__cookie"": 1, ""fruit__mediterranean"": 1, ""fruit__mediterranean__fig"": 1, ""fruit"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,mediterranean,-,-,-,-,-,-,-,-,31.00,gram,-,-,3.00,cookie,165,3,33,165,-,3,-,2,-,-
2939,"{""vegetable__podded_vegetables__lentil"": 1, ""staple__rice__rice"": 1, ""staple__rice"": 1, ""vegetable__podded_vegetables"": 1, ""vegetable"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,rice,-,-,-,-,vegetable,podded_vegetables,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,serving,226,7,35,806,-,12,-,16,-,-
2940,"{""beverage__coffee__latte"": 1, ""dessert"": 1, ""dessert__confectionery__caramel"": 1, ""beverage__coffee"": 1, ""beverage"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,beverage,coffee,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,240,8,35,0,-,0,-,6,-,-
2941,"{""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""fruit__berry__strawberry"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,-,-,-,-,1.00,pack,60,4,6,10,-,1,-,0,-,-
2942,"{""staple__wheat"": 1, ""staple"": 1, ""staple__wheat__noodle"": 1, ""staple__rice"": 1, ""staple__rice__rice"": 1, ""staple__wheat__vermicelli"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.70,gram,-,-,-,-,200,0,46,22,-,2,-,3,-,-
2943,"{""preparation__dry"": 1, ""preparation__dry__baked"": 1, ""bean_legume"": 1, ""preparation"": 1, ""bean_legume__legume__bean"": 1, ""bean_legume__legume"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,bean_legume,legume,preparation,dry,236.59,milliliter,-,-,-,-,-,-,382,13,54,1068,-,14,-,14,-,-
2944,"{""staple__root_tuber"": 1, ""vegetable__root_tuberous_vegetables__carrot"": 1, ""staple__root_tuber__potato"": 1, ""vegetable"": 1, ""staple"": 1, ""vegetable__root_tuberous_vegetables"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,root_tuber,-,-,-,-,vegetable,root_tuberous_vegetables,-,-,-,-,-,-,-,-,-,-,118.29,milliliter,-,-,-,-,-,-,80,5,12,100,-,0,-,2,-,-
2945,"{""dessert"": 1, ""dessert__custards"": 1, ""dietary_supplement__bodybuilding_supplements"": 1, ""fruit__berry__strawberry"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""dietary_supplement__bodybuilding_supplements__quest_bar"": 1, ""dietary_supplement"": 1, ""dessert__custards__cheesecake"": 1}",dietary_supplement,bodybuilding_supplements,-,-,-,-,-,-,-,-,-,-,dessert,custards,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,-,-,-,-,1.00,bar,160,5,26,250,-,17,-,20,-,-
2946,"{""staple"": 1, ""staple__rice"": 1, ""beverage"": 1, ""beverage__soft_drink"": 1, ""staple__rice__rice"": 1, ""beverage__soft_drink__minute_maid"": 1}",-,-,-,-,-,-,-,-,beverage,soft_drink,-,-,-,-,-,-,-,-,-,-,staple,rice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.00,gram,-,-,-,-,150,2,34,10,-,2,-,3,-,-
2947,"{""breakfast_cereal__breakfast_cereal__oatmeal"": 1, ""breakfast_cereal"": 1, ""breakfast_cereal__breakfast_cereal"": 1, ""fruit__mediterranean"": 1, ""fruit__mediterranean__raisin"": 1, ""fruit"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1, ""herb_spice__spices__cinnamon"": 1}",-,-,breakfast_cereal,breakfast_cereal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,fruit,mediterranean,-,-,-,-,-,-,-,-,-,-,-,-,1.00,bar,150,3,30,115,-,4,-,2,-,-
2948,"{""condiment__condiment__hummus"": 1, ""condiment__condiment"": 1, ""side_dish__salad__salad"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""condiment"": 1}",-,-,-,-,side_dish,salad,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.57,milliliter,28.18,gram,-,-,-,-,45,3,4,140,-,1,-,1,-,-
2949,"{""egg_dairy__dairy_product__kefir"": 1, ""egg_dairy"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,177.44,milliliter,-,-,-,-,-,-,83,2,9,94,-,0,-,8,-,-
2950,"{""dessert"": 1, ""dessert__confectionery__marshmallow"": 1, ""beverage"": 1, ""beverage__chocolate__swiss_miss"": 1, ""beverage__chocolate"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,beverage,chocolate,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.00,gram,-,-,-,-,90,2,16,130,-,1,-,1,-,-
2951,"{""fruit__temperate"": 1, ""fruit__tropical__pomegranate"": 1, ""fruit"": 1, ""fruit__temperate__cherry"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,-,-,-,-,1.00,container,100,0,15,95,-,0,-,10,-,-
2952,"{""fast_food_brand__fast_food__starbucks"": 1, ""fast_food_brand"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1, ""fast_food_brand__fast_food"": 1, ""herb_spice__spices__vanilla"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,gram,-,-,-,-,0,0,0,0,-,0,-,0,-,-
2953,"{""dessert__confectionery__truffle"": 1, ""fruit__berry__raspberry"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,-,-,-,-,-,-,1.00,ball,77,6,5,0,-,0,-,1,-,-
2954,"{""meat__beef__beef"": 1, ""meat__pork__pork"": 1, ""meat__pork"": 1, ""meat"": 1, ""meat__beef"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,beef,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.35,gram,-,-,-,-,129,11,1,350,-,0,-,7,-,-
2955,"{""egg_dairy"": 1, ""egg_dairy__dairy_product__milk"": 1, ""fast_food_brand__fast_food__starbucks"": 1, ""fast_food_brand"": 1, ""fast_food_brand__fast_food"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,pod,50,3,4,30,-,0,-,2,-,-
2956,"{""fruit"": 1, ""fruit__tropical__key_lime"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,150.12,gram,-,-,-,-,140,3,18,40,-,0,-,12,-,-
2957,"{""meat"": 1, ""preparation__fat__fried"": 1, ""preparation"": 1, ""fast_food_brand__fast_food__kfc"": 1, ""fast_food_brand"": 1, ""preparation__fat"": 1, ""meat__poultry__chicken"": 1, ""fast_food_brand__fast_food"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,fast_food_brand,fast_food,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,preparation,fat,-,-,-,-,-,-,-,-,320,14,13,1130,-,-,0,36,-,-
2958,"{""egg_dairy"": 1, ""condiment__condiment__sauce"": 1, ""condiment"": 1, ""condiment__condiment"": 1, ""egg_dairy__dairy_product__cream"": 1, ""beverage__alcohol__vodka"": 1, ""beverage"": 1, ""beverage__alcohol"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,condiment,condiment,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125.00,gram,-,-,-,-,90,5,9,440,-,-,6,2,-,-
2959,"{""egg_dairy"": 1, ""staple__wheat"": 1, ""vegetable__leafy_salad__spinach"": 1, ""staple__wheat__ravioli"": 1, ""egg_dairy__dairy_product__cheese"": 1, ""vegetable__leafy_salad"": 1, ""vegetable"": 1, ""staple"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,wheat,-,-,egg_dairy,dairy_product,vegetable,leafy_salad,-,-,-,-,-,-,-,-,-,-,473.18,milliliter,-,-,-,-,-,-,480,14,60,560,-,-,2,28,-,-
2960,"{""breakfast_cereal"": 1, ""breakfast_cereal__breakfast_cereal"": 1, ""fruit__berry__strawberry"": 1, ""fruit"": 1, ""fruit__berry"": 1, ""breakfast_cereal__breakfast_cereal__special_k"": 1, ""breakfast_cereal__breakfast_cereal__cereal"": 1}",-,-,breakfast_cereal,breakfast_cereal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,berry,-,-,-,-,-,-,236.59,milliliter,41.33,gram,-,-,-,-,147,0,36,253,-,-,12,3,-,-
2961,"{""meat__beef__beef"": 1, ""meat"": 1, ""staple__root_tuber"": 1, ""vegetable__bulb_stem_vegetables"": 1, ""meat__beef"": 1, ""vegetable__bulb_stem_vegetables__onion"": 1, ""staple__root_tuber__potato"": 1, ""vegetable"": 1, ""vegetable__root_tuberous_vegetables__carrot"": 1, ""staple"": 1, ""vegetable__root_tuberous_vegetables"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,root_tuber,meat,beef,-,-,vegetable,root_tuberous_vegetables,-,-,-,-,-,-,-,-,-,-,-,-,113.40,gram,-,-,-,-,446,24,24,1701,-,-,4,36,-,-
2962,"{""egg_dairy"": 1, ""condiment__condiment__blue_cheese_dressing"": 1, ""condiment__condiment"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""condiment"": 1, ""egg_dairy__dairy_product"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,-,-,-,-,-,-,-,-,44.36,milliliter,-,-,-,-,-,-,53,4,2,210,-,-,2,3,-,-
2963,"{""side_dish__salad__salad"": 1, ""condiment__condiment"": 1, ""condiment__condiment__honey_mustard_dressing"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""condiment"": 1}",-,-,-,-,side_dish,salad,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.57,milliliter,-,-,-,-,-,-,80,6,7,260,-,-,7,0,-,-
2964,"{""meat"": 1, ""dessert"": 1, ""vegetable__vegetables__vegetable"": 1, ""dessert__pies__pie"": 1, ""vegetable__vegetables"": 1, ""dessert__pies"": 1, ""vegetable"": 1, ""meat__poultry__chicken"": 1, ""meat__poultry"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,pies,-,-,-,-,-,-,-,-,meat,poultry,-,-,vegetable,vegetables,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.00,slice,780,15,135,1113,-,-,21,75,-,-
2965,"{""side_dish__fries"": 1, ""herb_spice__herbs"": 1, ""side_dish"": 1, ""herb_spice"": 1, ""herb_spice__herbs__garlic"": 1, ""side_dish__fries__fry"": 1}",-,-,-,-,side_dish,fries,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,herbs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.67,gram,-,-,-,-,57,2,7,133,-,-,0,1,-,-
2966,"{""beverage__alcohol__beer"": 1, ""beverage"": 1, ""beverage__alcohol"": 1, ""beverage__alcohol__stout"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,340.19,gram,-,-,-,-,210,0,19,0,-,-,0,0,-,-
2967,"{""beverage"": 1, ""beverage__alcohol"": 1, ""beverage__alcohol__whiskey"": 1, ""beverage__alcohol__jack_daniel"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.57,milliliter,-,-,-,-,-,-,65,0,0,0,-,-,0,0,-,-
2968,"{""staple__root_tuber"": 1, ""preparation__mechanical"": 1, ""preparation__mechanical__mashed"": 1, ""preparation__wet__boiled"": 1, ""preparation"": 1, ""preparation__wet"": 1, ""staple__root_tuber__sweet_potato"": 1, ""staple"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,root_tuber,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,wet,473.18,milliliter,-,-,-,-,-,-,228,0,54,146,-,-,38,8,-,-
2969,"{""preparation__dry"": 1, ""preparation"": 1, ""preparation__dry__roasted"": 1, ""vegetable"": 1, ""vegetable__fruits"": 1, ""vegetable__fruits__tomato"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,fruits,-,-,-,-,-,-,-,-,preparation,dry,236.59,milliliter,-,-,-,-,-,-,52,2,8,25,-,-,5,2,-,-
2970,"{""side_dish__salad__slaw"": 1, ""vegetable__root_tuberous_vegetables__carrot"": 1, ""vegetable__leafy_salad"": 1, ""side_dish"": 1, ""side_dish__salad"": 1, ""vegetable"": 1, ""vegetable__leafy_salad__cabbage"": 1, ""vegetable__root_tuberous_vegetables"": 1}",-,-,-,-,side_dish,salad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,vegetable,root_tuberous_vegetables,-,-,-,-,-,-,-,-,-,-,354.88,milliliter,-,-,-,-,-,-,101,0,0,0,-,-,0,0,-,-
2971,"{""side_dish__salad__salad"": 1, ""bean_legume"": 1, ""side_dish"": 1, ""staple__maize"": 1, ""side_dish__salad"": 1, ""bean_legume__legume__bean"": 1, ""staple__maize__corn"": 1, ""bean_legume__legume"": 1, ""staple"": 1}",-,-,-,-,side_dish,salad,-,-,-,-,-,-,-,-,-,-,-,-,-,-,staple,maize,-,-,-,-,-,-,-,-,-,-,-,-,bean_legume,legume,-,-,177.44,milliliter,-,-,-,-,-,-,150,0,33,720,-,-,3,6,-,-
2972,"{""beverage__alcohol__pinot_grigio"": 1, ""beverage__alcohol__barefoot_cellar"": 1, ""beverage"": 1, ""beverage__alcohol"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,566.99,gram,-,-,0.50,container,228,0,8,0,-,-,2,0,-,-
2973,"{""condiment__condiment__salsa"": 1, ""fruit__tropical__pineapple"": 1, ""condiment__condiment"": 1, ""fruit"": 1, ""condiment"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,177.44,milliliter,-,-,-,-,-,-,131,0,32,180,-,-,15,2,-,-
2974,"{""preparation__dry"": 1, ""preparation__dry__seared"": 1, ""meat"": 1, ""preparation"": 1, ""meat__poultry"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,-,-,-,-,1.00,piece,201,13,7,347,-,-,0,14,-,-
2975,"{""meat"": 1, ""fruit__tropical"": 1, ""meat__poultry"": 1, ""fruit"": 1, ""fruit__tropical__coconut"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,236.59,milliliter,-,-,-,-,-,-,421,27,11,164,-,-,6,36,-,-
2976,"{""herb_spice__herbs"": 1, ""staple"": 1, ""fruit__tropical__lime"": 1, ""staple__rice"": 1, ""fruit"": 1, ""herb_spice__herbs__cilantro"": 1, ""herb_spice"": 1, ""staple__rice__rice"": 1, ""fruit__tropical"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,herbs,staple,rice,-,-,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,-,-,56.70,gram,-,-,-,-,93,2,17,188,-,-,0,2,-,-
2977,"{""fruit__temperate"": 1, ""egg_dairy"": 1, ""dessert"": 1, ""dessert__custards"": 1, ""fruit"": 1, ""egg_dairy__dairy_product__yogurt"": 1, ""fruit__temperate__cherry"": 1, ""egg_dairy__dairy_product"": 1, ""dessert__custards__cheesecake"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,custards,-,-,-,-,-,-,-,-,-,-,egg_dairy,dairy_product,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,-,-,-,-,1.00,container,140,3,25,75,-,-,21,5,-,-
2978,"{""dessert__confectionery__fudge"": 1, ""dessert__confectionery__chocolate"": 1, ""dessert"": 1, ""dessert__puddings__pudding"": 1, ""dessert__confectionery"": 1, ""dessert__puddings"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,dessert,puddings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,package,163,0,41,618,-,-,28,1,-,-
2979,"{""preparation__dry"": 1, ""preparation"": 1, ""preparation__dry__toasted"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,preparation,dry,-,-,-,-,-,-,10.00,chip,100,4,15,177,-,-,2,2,-,-
2980,"{""fruit__temperate"": 1, ""fruit__temperate__apple"": 1, ""herb_spice__spices__berry"": 1, ""fruit"": 1, ""herb_spice"": 1, ""herb_spice__spices"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,herb_spice,spices,-,-,-,-,-,-,-,-,-,-,fruit,temperate,-,-,-,-,-,-,-,-,340.19,gram,-,-,-,-,0,0,0,0,-,-,0,0,-,-
2981,"{""beverage__alcohol__michelob"": 1, ""beverage__alcohol__beer"": 1, ""beverage"": 1, ""beverage__alcohol"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,396.89,gram,-,-,-,-,110,0,0,0,-,-,0,0,-,-
2982,"{""preparation__mechanical__chopped"": 1, ""preparation__mechanical"": 1, ""meat"": 1, ""preparation"": 1, ""meat__poultry"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,-,-,-,-,-,-,preparation,mechanical,177.44,milliliter,-,-,-,-,-,-,173,4,0,78,-,-,0,33,-,-
2983,"{""snack__snack"": 1, ""snack"": 1, ""snack__snack__donut"": 1, ""dessert"": 1, ""dessert__confectionery__sprinkle"": 1, ""dessert__confectionery"": 1}",-,-,-,-,-,-,-,-,-,-,snack,snack,dessert,confectionery,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.50,donut,155,7,22,135,-,-,10,2,-,-
2984,"{""meat"": 1, ""fruit__tropical__mango"": 1, ""meat__poultry"": 1, ""fruit"": 1, ""fruit__tropical"": 1, ""meat__poultry__chicken"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,poultry,-,-,-,-,-,-,fruit,tropical,-,-,-,-,-,-,473.18,milliliter,-,-,-,-,-,-,402,13,20,375,-,-,20,12,-,-
2985,"{""condiment"": 1, ""condiment__condiment"": 1, ""condiment__condiment__duck_sauce"": 1}",-,-,-,-,-,-,condiment,condiment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.00,packet,22,1,2,0,-,-,2,0,-,-
2986,"{""beverage__alcohol__beer"": 1, ""beverage"": 1, ""beverage__alcohol"": 1, ""beverage__alcohol__blue_moon"": 1}",-,-,-,-,-,-,-,-,beverage,alcohol,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,340.19,gram,-,-,-,-,171,0,14,8,-,-,0,3,-,-
2987,"{""meat"": 1, ""preparation"": 1, ""meat__fish__fish"": 1, ""meat__fish"": 1, ""preparation__fat__pan_fried"": 1, ""preparation__fat"": 1}",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,meat,fish,-,-,-,-,-,-,-,-,-,-,-,-,preparation,fat,-,-,170.10,gram,-,-,-,-,368,14,27,120,-,-,0,33,-,-
